word,phonetic_symbol,word_attr,meanings,en_sentence1,cn_sentence1,en_sentence2,cn_sentence2,en_sentence3,cn_sentence3
model,"英 [ˈmɒdl], 美 [ˈmɑdl]","n.,vt.& vi.,vt.,adj.","模型；模特儿；模式；典型,做模特儿；,模仿；制作模型，塑造；将…做成模型；,典型的，模范的；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...an architect's model of a wooden house.,一幢木屋的建筑模型,...a working scale model of the whole Bay Area...,实际应用的整个旧金山湾区比例模型,We believe that this is a general model of managerial activity...,我们认为这可以作为管理活动的普遍范例。
forget,"英 [fəˈget], 美 [fərˈget]","vt.,vi.","忘记，忘却；忽略，疏忽；遗落；忘掉,忘记；忽视；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Sometimes I improvise and change the words because I forget them...,有时，我临场发挥改了词，因为我把原来的词给忘了。,She forgot where she left the car and it took us two days to find it.,她忘记把车子停在什么地方了，我们花了两天时间才找到。,She never forgets her daddy's birthday...,她从来不会忘记老爸的生日。
song,"英 [sɒŋ], 美 [sɔŋ]",n.,"歌曲；歌唱（艺术）；诗歌，韵文；鸟叫声，鸟语,复数：
                                                            ",...a voice singing a Spanish song.,正在演唱一首西班牙歌曲的声音,...a love song.,情歌,"...dance, music, mime and song.",舞蹈、音乐、哑剧以及歌唱
poor,"英 [pʊə(r)], 美 [pʊr]","adj.,n.","贫穷的，贫乏的；令人怜悯的，可怜的；匮乏的；低劣的,the poor 贫困者，穷人；",The reason our schools cannot afford better teachers is because people here are poor...,我们的学校请不起好老师的原因是因为这里的人穷。,He was one of thirteen children from a poor family.,他是13名来自贫困家庭的孩子之一。,Many countries in the Third World are as poor as they have ever been.,很多第三世界国家仍和过去一样穷困。
loss,"英 [lɒs], 美 [lɔs]",n.,"损失，减少；丢失，遗失；损耗，亏损；失败,复数：
                                                            ",...loss of sight...,失明,The loss of income for the government is about $250 million a month.,政府收入每月大概减少2.5亿美元。,...a terrible loss of human life...,伤亡惨重
prevent,"英 [prɪˈvent], 美 [prɪˈvɛnt]","vt.,vi.","预防；阻碍；阻止；[宗教]引领,阻挠，阻止；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",These methods prevent pregnancy...,这些方法能防止怀孕。,Further treatment  will prevent cancer from developing...,进一步的治疗将阻止癌症恶化。,He said this would prevent companies from creating new jobs...,他说这将使公司无法创造新的工作机会。
extend,"英 [ɪkˈstend], 美 [ɪkˈstɛnd]","vt.& vi.,vt.,vi.","延伸；扩大；推广；,伸展；给予；延长；发出（邀请、欢迎等）,伸出；延伸；增加；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The caves extend for some 18 kilometres...,那些洞穴深约18公里。,"The main stem will extend to around 12ft, if left to develop naturally...",如果任其自然生长，主干可以长到约12英尺。,A shelf of land extended from the escarpment.,悬崖上凸出一块空地。
edge,"英 [edʒ], 美 [ɛdʒ]","n.,vt.,vi.","边；优势；（悬崖、峭壁的）边缘，端；锋利，尖锐,在…上加边界；使渐进；给（刀刃）磨边，使锋利；修整,慢慢向前移动，侧身移动；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","We were on a hill, right on the edge of town...",我们在恰位于城镇边缘的一座小山上。,She was standing at the water's edge...,她正站在水边。,...the sharp edge of the sword.,锋利的剑刃
distance,"英 [ˈdɪstəns], 美 [ˈdɪstəns]","n.,vt.","距离，路程；远处；疏远；（时间的）间隔，长久,把…远远甩在后面；疏远；与…保持距离；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...the distance between the island and the nearby shore...,该岛和附近陆地之间的距离,Everything is within walking distance...,不管什么地方，都是走几步就到了。,The distance wouldn't be a problem.,距离不成问题。
recommend,"英 [ˌrekəˈmend], 美 [ˌrɛkəˈmɛnd]","vt.,vi.","推荐；劝告；使显得吸引人；托付,推荐；建议；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",I have just spent a holiday there and would recommend it to anyone...,我刚刚在那里度过假，很想把它推荐给每一个人。,"'You're a good worker, boy,' he told him. 'I'll recommend you for a promotion.'...",“你是个好员工，孩子，”他告诉他，“我将推荐你升职。”,The judge recommended that he serve 20 years in prison...,法官建议判处他20年监禁。
discussion,"英 [dɪˈskʌʃn], 美 [dɪˈskʌʃən]",n.,"讨论，谈论；详述，论述；,复数：
                                                            ",There was a lot of discussion about the wording of the report...,关于此则报道的措辞议论纷纷。,Council members are due to have informal discussions later on today...,委员会成员定于今日晚些时候进行非正式讨论。,"For a discussion of biology and sexual politics, see chapter 4.",生态政治和性别政治论述请见第4章。
division,"英 [dɪˈvɪʒn], 美 [dɪˈvɪʒən]",n.,"分开，分隔；[数]除法；部门；[军]师,复数：
                                                            ","...the unification of Germany, after its division into two states at the end of World War Two.",二战结束时曾被一分为二的德国实现了统一,The current division of labor between workers and management will alter.,当前工人与管理部门的分工将会改变。,I taught my daughter how to do division at the age of six.,女儿6岁时我就教她如何做除法了。
leg,"英 [leg], 美 [lɛɡ]","n.,vi.","腿；支柱，支架；裤腿；一段赛程,走，跑；,复数：
                                                            过去式：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He was tapping his walking stick against his leg.,他用手杖轻敲着腿。,He moved on through wet grass that soaked his trouser legs.,他继续前行，穿过湿漉漉的草地，裤腿全湿透了。,...a chicken leg.,鸡腿
fly,"英 [flaɪ], 美 [flai]","vi.,vt.& vi.,vt.,n.","飞；飞行；（旗）飘荡；过得快,乘（…的）飞机；驾驶（飞机等）；,驾驶；空运；使飞翔；操作,苍蝇；（作钓饵的）苍蝇；（裤子的）前裆开口；门帘,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The planes flew through the clouds...,飞机穿越云层。,The bird flew away.,鸟儿飞走了。,He flew to Los Angeles...,他飞往洛杉矶。
address,"英 [əˈdres], 美 [ˈædres]","n.,v.","地址；通信处；演说；称呼,寄给；演说；向…说话；称呼处理；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","The address is 2025 M Street, Northwest, Washington, DC, 20036...",地址为华盛顿特区，西北区，M大街2025号，邮政编码20036。,We require details of your name and address.,我们需要你的姓名和地址的详细信息。,Applications should be addressed to: The business affairs editor.,申请表应寄给;商务编辑。
dependent,"英 [dɪˈpendənt], 美 [dɪˈpɛndənt]","adj.,n.","依靠的；依赖的；取决于…的；有瘾的,受抚养人；受赡养者；依赖他人者；扈从，侍从,复数：
                                                            ",The local economy is overwhelmingly dependent on oil and gas extraction...,当地经济过于依赖石油和天然气的开采。,Up to two million people there are dependent on food aid...,那里有多达 200 万人口依靠食品援助。,The results you get from weight training are largely dependent upon how you use those weights and what type of exercise programme you follow.,举重训练的效果在很大程度上取决于如何使用那些举重器械以及遵照何种锻炼方案。
shake,"英 [ʃeɪk], 美 [ʃek]","vt.,vi.,n.","动摇；摇头；使发抖；使心绪不宁[烦恼，惊吓],摇（出），抖（掉）；握手；（嗓音）颤抖；,摇动；震动；哆嗦；混合饮料,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The nurse shook the thermometer and put it under my armpit...,护士把体温计甩了甩，然后放到了我的腋下。,Shake the rugs well and hang them for a few hours before replacing on the floor...,把地毯好好抖抖，挂起来晾上几小时再铺到地板上。,"As soon as he got inside, the dog shook himself...",他一进来，狗就开始摇头摆尾。
ball,"英 [bɔ:l], 美 [bɔl]","n.,vt.,vi.","球；棒球（投手投出的）坏球；拇指球；舞会,做成球状，使成团块；（指男性）和（女性）交媾（美式英语）；,呈球形，成团块；[美国俚语、口语]狂欢作乐，消遣；尽情作乐，尽情地玩；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...a golf ball.,高尔夫球,...a tennis ball.,网球,Thomas screwed the letter up into a ball...,托马斯把信揉成一团。
engineer,"英 [ˌendʒɪˈnɪə(r)], 美 [ˌendʒɪˈnɪr]","n.,vt.","工程师，技师；（轮船的）机师；〈美〉（火车的）司机，；（陆军的）工兵,设计，策划；安排或处理；改变…的基因（或遗传）结构；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",They send a service engineer to fix the disk drive.,他们派出维修人员来修磁盘驱动器。,Many of Kuwait's spacious freeways were engineered by W S Atkins.,科威特有很多宽阔的高速公路是阿特金斯集团设计建造的。,...the car's better designed and engineered rivals.,比那款轿车的设计和制造更为精良的竞争车型
extreme,"英 [ɪkˈstri:m], 美 [ɪkˈstrim]","adj.,n.","极端的，过激的；极限的，非常的；末端的；（政治上）急进的,极端；困境；[数]极限值；[常用复数]在两末端的事物,复数：
                                                            ",The girls were afraid of snakes and picked their way along with extreme caution.,女孩子们害怕蛇，走路时格外小心。,...people living in extreme poverty.,生活极度贫困的人们,"The extreme case was Poland, where 29 parties won seats...",极端的例子是波兰，共有29个政党拥有议席。
radio,,,,,,,,,
thick,"英 [θɪk], 美 [θɪk]","adj.,adv.,n.","浓的，茂密的；厚的，粗大的；稠密的；不透明的,密集地；不清晰地；〈口〉太过分；频频地，时常,最厚的部分；最活跃或最激烈的部分；〈口〉笨蛋；〈俚〉可可粉",For breakfast I had a thick slice of bread and syrup...,早餐我吃了一片厚厚的涂了糖浆的面包。,He wore glasses with thick rims...,他戴了一副厚框眼镜。,The folder was two inches thick...,那个文件夹有两英寸厚。
latter,"英 [ˈlætə(r)], 美 [ˈlætɚ]",adj.,后者的；末了的；较后的；,He tracked down his cousin and uncle. The latter was sick.,他追查到了堂弟和叔叔的下落，发现叔叔这时正在病中。,He is getting into the latter years of his career...,他正步入职业生涯的后半程。,The latter part of the debate concentrated on abortion.,后半部分的辩论集中在堕胎问题上。
camp,"英 [kæmp], 美 [kæmp]","n.,vt.& vi.,adj.,vi.,vt.","营地，工地宿舍；阵营（指观点相同且与持不同观点者对立的集团）；兵营；（度假者、旅游者，尤指青少年的）野营地,宿营，露营；,夸张的；（男子）女人腔的；陈腐可笑的；（男人或其举止）故意带女子气的,（尤指在假日）野营；借住；行动矫揉造作；搞同性恋,使扎营（住宿）；使宿于营中；为…提供住处；临时安顿,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...a refugee camp...,难民营,"2,500 foreign prisoners-of-war, including Americans, had been held in camps near Tambov.","包括美国兵在内的 2,500名外国战俘一直被囚禁在坦波夫附近的战俘营。",...gypsy camps...,吉卜赛营地
murder,"英 [ˈmɜ:də(r)], 美 [ˈmɜrdə(r)]","n.,vt.,vi.","谋杀；杀戮；极艰难[令人沮丧]的经历；,凶杀；糟蹋；打垮；,杀人；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","The three accused, aged between 19 and 20, are charged with attempted murder...",3个年龄在19到20岁之间的被告被控谋杀未遂。,"She refused to testify, unless the murder charge against her was dropped.",除非撤销对她的谋杀指控，否则她拒绝作证。,...a thriller about two men who murder a third to see if they can get away with it.,关于两个男人为了看看是否能成功逃脱惩罚而去谋杀另一名男子的惊悚片
faith,"英 [feɪθ], 美 [feθ]","n.,int.","信用，信任；宗教信仰；忠诚；宗教,实在，确实；,复数：
                                                            ",She had placed a great deal of faith in Mr Penleigh...,她对彭利先生极其信任。,People have lost faith in the British Parliament.,人们已经对英国议会失去了信任。,England shifted officially from a Catholic to a Protestant faith in the 16th century.,英格兰于 16 世纪正式由天主教改信新教。
oil,"英 [ɔɪl], 美 [ɔɪl]","n.,vt.,vi.","油；石油；油画；燃油,给…加油；,化成油；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","The company buys and sells about 600,000 barrels of oil a day.",该公司每天买卖约60万桶石油。,...the rapid rise in prices for oil and petrol.,石油与汽油价格的急剧上涨,A crew of assistants oiled and adjusted the release mechanism until it worked perfectly...,一班助手给排放装置加润滑油并作调试，直到其达至理想工作状态。
discover,"英 [dɪˈskʌvə(r)], 美 [dɪˈskʌvɚ]",vt.,"发现；碰见；撞见；获得知识,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She discovered that they'd escaped...,她发现他们已经逃跑了。,I discovered I was pregnant...,我发现自己怀孕了。,A few days later his badly beaten body was discovered on a roadside outside the city.,几天后，他的尸体在城外的路边被发现，身上有被严重殴打过的痕迹。
tooth,"英 [tu:θ], 美 [tuθ]","n.,vt.,vi.","牙；齿；齿状部份；,给…装齿；,啮合；,复数：
                                                            ",She had very pretty straight teeth...,她有一口漂亮整齐的牙齿。,"If a tooth feels very loose, your dentist may recommend that it's taken out.",如果某颗牙松动得很厉害，牙医会建议把它拔掉。,The front cog has 44 teeth.,前齿轮有 44 个齿。
difficulty,"英 [ˈdɪfɪkəlti], 美 [ˈdɪfɪˌkʌlti, -kəl-]",n.,"困难，麻烦，难事；难度；异议，争论，纠葛；财政困难，（经济）拮据,复数：
                                                            ",...the difficulty of getting accurate information...,获取准确信息的难题,The country is facing great economic difficulties.,该国正面临巨大的经济困难。,Do you have difficulty getting up?...,你能站起来吗？
examine,"英 [ɪgˈzæmɪn], 美 [ɪɡˈzæmɪn]","vt.,vi.","检查，调查；考试；诊察；审问,检查；调查；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He examined her passport and stamped it...,他仔细检查了她的护照，然后在上面盖了章。,Forensic scientists are examining what police believe to have been the bombers' car.,法医学家正在对一辆警方怀疑属于投弹者的汽车进行仔细检查。,Another doctor examined her and could still find nothing wrong...,另外一名医生对她进行了诊察，仍旧没有发现任何问题。
middle,"英 [ˈmɪdl], 美 [ˈmidl]","n.,adj.,vt.,vi.","中部，中间；腰部；中央；正中,中部的；中央的；正中的；中间的,把…放在中间；把…对折；,放在中间；对折；,复数：
                                                            ",Howard stood in the middle of the room sipping a cup of coffee...,霍华德站在房间中央，小口抿着一杯咖啡。,"Hyde accelerated away from the kerb, swerving out into the middle of the street...",海德加速驶离路边，突然向街道中央一个急转弯。,The middle button of his uniform jacket was strained over his belly.,制服上装中间的纽扣在他的肚子上绷得紧紧的。
enemy,"英 [ˈenəmi], 美 [ˈɛnəmi]","n.,adj.","仇敌；敌军；危害物；,敌人的；敌方的；与敌对力量相关的；,复数：
                                                            ",The Government's political enemies were quick to pick up on this series of disasters.,政府的政敌迅速借这一系列灾难向政府发难。,The enemy were pursued for two miles...,敌军被追击了两英里。,He searched the skies for enemy bombers.,他在空中搜寻敌军轰炸机。
practical,"英 [ˈpræktɪkl], 美 [ˈpræktɪkəl]",adj.,"实践的，实际的；可实现的，实用的；注重实际的；可用的,复数：
                                                            ",We can offer you practical suggestions on how to increase the fibre in your daily diet...,我们能就如何增加你日常饮食中的纤维素量提供实际的建议。,"This practical guidebook teaches you about relaxation, coping skills, and time management.",这本实用的旅行指南教给你放松的方法、处理问题的技巧以及如何安排时间。,"You were always so practical, Maria...",玛丽亚，你以前一向很注重实效。
memory,"英 [ˈmeməri], 美 [ˈmɛməri]",n.,"记忆，记忆力；回忆，往事；[计]存储器，内存；,复数：
                                                            ",All the details of the meeting are fresh in my memory...,我对会议的所有细节都记忆犹新。,"He'd a good memory for faces, and he was sure he hadn't seen her before...",他对别人的长相过目不忘，他确信自己以前没有见过她。,She cannot bear to watch the film because of the bad memories it brings back...,她看不了那部电影，因为它会勾起一些痛苦的回忆。
marriage,"英 [ˈmærɪdʒ], 美 [ˈmærɪdʒ]",n.,"结婚；婚姻生活；密切结合；合并,复数：
                                                            ","In a good marriage, both husband and wife work hard to solve any problems that arise...",美满的婚姻中，夫妻双方会共同努力去解决出现的任何问题。,When I was 35 my marriage broke up...,35岁时我的婚姻破裂了。,I opposed her marriage to Darryl.,我反对她嫁给达里尔。
frame,"英 [freɪm], 美 [frem]","n.,vt.,adj.","框架；眼镜框；组织；边框,陷害；设计；表达；使适合（某一特殊用途）,有木架的，有构架的；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Estelle kept a photograph of her mother in a silver frame on the kitchen mantelpiece.,埃丝特尔把母亲的一张镶银框的照片挂在厨房壁炉台上。,...a pair of picture frames.,一对画框,He supplied housebuilders with modern timber frames...,他给房屋建筑商提供了现代的木构架。
staff,"英 [stɑ:f], 美 [stæf]","n.,adj.,v.","参谋；全体职员；管理人员；权杖,行政工作的；参谋的；职员的；作为正式工作人员的,在…工作；为…配备职员；任职于；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",The staff were very good...,职员都很出色。,The outpatient program has a staff of six people...,门诊部有 6 名工作人员。,10 staff were allocated to the task...,10名员工被分配来完成这项任务。
declare,"英 [dɪˈkleə(r)], 美 [dɪˈkler]","vt.,vi.","宣布；声明，声称；申报；[法]供述,声明，发表宣言；宣称；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","Speaking outside Ten Downing Street, she declared that she would fight on...",她在英国首相官邸外发表讲话时宣称她将继续斗争下去。,"'I'm absolutely thrilled to have done what I've done,' he declared...",他宣称道：“我为自己的所作所为感到兴奋不已。”,The government is ready to declare a permanent ceasefire...,政府准备宣布永久性停火。
lady,"英 [ˈleɪdi], 美 [ˈledi]",n.,"（指成年女子，有些人尤其是长者认为这样说比较礼貌）女士；（不尊重的非正式称呼）女人；（在英国对女贵族或贵族成员的妻子女儿或爵士妻子的称呼）夫人；举止文雅且有教养的女子,复数：
                                                            ",She's a very sweet old lady...,她是一位很和蔼的老太太。,Shall we rejoin the ladies?,咱们和女士们会合吧？,"Your table is ready, ladies, if you'd care to come through...",你们的桌位已经准备好了，女士们，请跟我来。
bridge,"英 [brɪdʒ], 美 [brɪdʒ]","n.,vt.","桥；桥牌；鼻梁；起联系作用的东西,在…建桥，架桥于…之上；通过桥横跨；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He walked back over the railway bridge.,他从铁路桥上走了回去。,...the Golden Gate Bridge.,金门大桥,...a land bridge linking Serbian territories.,连接塞尔维亚不同地区的陆桥
daily,"英 [ˈdeɪli], 美 [ˈdeli]","adj.,n.,adv.","每日的，日常的；一日的；每日一次的；每个工作日的,日报；（不寄宿的）仆人，白天做家务的女佣；,每日；逐日；每周日；日复一日地,复数：
                                                            ",Cathay Pacific flies daily non-stop to Hong Kong from Heathrow...,国泰航空公司每天都有从希思罗机场直飞香港的航班。,The Visitor Centre is open daily 8.30 a.m. – 4.30 p.m.,游客中心每日上午 8:30 至下午 4:30 开放。,...a diet containing adequate daily amounts of fresh fruit...,包含了足量一天所需新鲜水果的饮食
cross,"英 [krɒs], 美 [krɔs]","n.,vi.,vt.,adj.","十字架；十字形饰物；杂交品种；痛苦,交错而行；横渡；越境；,杂交；横跨，穿越；划掉；使相交,坏脾气的， 易怒的；相反的，反向的；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She was partly to blame for failing to look as she crossed the road...,她过马路时没注意看，负有部分责任。,Nine Albanians have crossed the border into Greece and asked for political asylum...,9名阿尔巴尼亚人穿过边境进入希腊境内并寻求政治避难。,The Defford to Eckington road crosses the river half a mile outside Eckington.,从迪福德到埃金顿的路穿过那条距埃金顿半英里的河。
director,"英 [dəˈrektə(r)], 美 [dɪˈrɛktɚ, daɪ-]",n.,"主管，主任；董事，理事；负责人，监督者；导演,复数：
                                                            ",...the director of the intensive care unit at Guy's Hospital.,盖伊医院重症护理病房的主任,...the Director of Public Prosecutions...,(英格兰以及威尔士的)检察官,He served on the board of directors of a local bank.,他是当地一家银行的董事会成员之一。
afternoon,"英 [ˌɑ:ftəˈnu:n], 美 [ˌæftərˈnun]",n.,"下午；后期，后部；,复数：
                                                            ",He's arriving in the afternoon...,他下午会到。,He had stayed in his room all afternoon.,他整个下午都呆在房间里。,,
balance,"英 [ˈbæləns], 美 [ˈbæləns]","n.,vt.& vi.,vt.,vi.","平衡；天平；平衡力；（酿酒配料的）均衡,（使）平衡；（使）均衡；（使）相抵；权衡,结平（账目）；使（在某物上）保持平衡；使（各部分）协调；用天平称,微微摇摆；倾斜后又复平衡；动摇；被补偿,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",I balanced on the ledge...,我在窗台上站稳。,He balanced a football on his head.,他将一只足球稳稳地顶在头上。,The medicines you are currently taking could be affecting your balance.,你现在服用的药物可能会影响身体的平衡能力。
attend,"英 [əˈtend], 美 [əˈtɛnd]","vi.,vt.","出席；致力于，献身于；侍候，照顾；关注,出席，参加；[常用被动语态]（作为结果、情况）伴随；照顾；陪伴,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Thousands of people attended the funeral...,数千人参加了葬礼。,The meeting will be attended by finance ministers from many countries...,很多国家的财政部长将出席会议。,They attended college together at the University of Pennsylvania.,他们一起就读于宾夕法尼亚大学。
refer,"英 [rɪˈfɜ:(r)], 美 [rɪˈfɚ]","vi.,vt.,vt.& vi.","提到；针对；关系到；请教,归因于…；使求助于；送交；认为…起源于,参考，查阅；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","In his speech, he referred to a recent trip to Canada.",他在讲演中提到了前不久的加拿大之行。,Marcia had referred to him as a dear friend...,马西娅把他称作好朋友。,He simply referred to him as Ronnie...,他就叫他龙尼。
block,"英 [blɒk], 美 [blɑk]","n.,vt.","块；街区；大楼，大厦；障碍物，阻碍,阻止；阻塞；限制；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",...blocks of council flats.,一栋栋市政公寓大楼,...a white-painted apartment block.,一栋漆成白色的公寓大楼,She walked four blocks down High Street...,她沿着商业大街走了4个街区。
citizen,"英 [ˈsɪtɪzn], 美 [ˈsɪtɪzən]",n.,"公民；国民；市民；平民,复数：
                                                            ",...American citizens...,美国公民,The life of ordinary citizens began to change.,老百姓的生活开始发生变化。,...the citizens of Buenos Aires.,布宜诺斯艾利斯的市民
choice,"英 [tʃɔɪs], 美 [tʃɔɪs]","n.,adj.","选择；选择权；精选品；入选者,上等的，精选的；,复数：
                                                            ",It's available in a choice of colours...,有多种颜色可供选择。,"At lunchtime, there's a choice between the buffet or the set menu...",午餐可以吃自助餐，也可以选套餐。,"Although he was only grumbling, his choice of words made Rodney angry.",尽管他只是在咕哝，可是他的措词却让罗德妮恼火。
hill,"英 [hɪl], 美 [hɪl]","n.,v.","小山，山冈；斜坡；,把…堆成小山；培土于…周围；,复数：
                                                            ",We trudged up the hill to the stadium.,我们费力地爬到山上的体育场。,...Maple Hill.,梅普尔山,He doesn't take kindly to suggestions that he is over the hill.,他不爱听别人说他风光不再。
capital,"英 [ˈkæpɪtl], 美 [ˈkæpɪtl]","n.,adj.","首都；资本；资源；大写字母,极好的；死刑的；资本的；首都的,复数：
                                                            ",Companies are having difficulty in raising capital...,各公司融资困难。,A large amount of capital is invested in all these branches.,一大笔资金投入了各分公司。,...capital equipment that could have served to increase production.,本可以用来增加产出的资产设备
speed,"英 [spi:d], 美 [spid]","n.,vt.& vi.,vi.,vt.","速度；快速；昌盛；（汽车的）变速器，排挡,急行，加速；,超速；加速；迅速前行；兴隆,加快…的速度；使成功，使繁荣；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He drove off at high speed...,他驱车飞驰而去。,"With this type of camera, the shutter speed is fixed...",对这类相机而言，快门的速度是固定的。,In the late 1850s the speed of technological change quickened...,19 世纪 50 年代末期，技术变革的速度加快了。
wash,"英 [wɒʃ], 美 [wɑʃ]","vt.,vi.,n.,vt.,adj.","洗，清洗；浸湿；冲刷，冲击；洗去罪名,耐洗；被洗掉（通常与 out 和 away 连用）；（波涛等）拍打；,（尤指船过后划出的）水流；要洗的衣物的数量；薄涂层（尤指涂料）；,弄湿；使受洗礼；（光）布满；（猫等）舔净（自身）,可洗的，耐洗的；（证券交易）虚假的；,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",He got a job washing dishes in a pizza parlour...,他在比萨店里找到一份洗盘子的工作。,The colours gently fade each time you wash the shirt...,衬衣每洗一次都会褪点色。,They looked as if they hadn't washed in days...,他们看起来好像已经有好些天没洗澡了。
mouth,"英 [maʊθ], 美 [maʊθ]","n.,vt.,vi.","口；出入口；传闻；,装腔作势地说；喃喃地说，心不在焉地说，言不由衷地说；,装腔作势说话；,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She clamped her hand against her mouth...,她用手捂着嘴。,His mouth was full of peas.,他满嘴都是豌豆。,"I've always had a loud mouth, I refuse to be silenced...",我一贯大声说出自己的想法，不会迫于压力而一言不发。
motor,"英 [ˈməʊtə(r)], 美 [ˈmoʊtə(r)]","n.,vi.,vt.,adj.","马达，发动机，[火箭]助推器；原动者，原动力；汽车；[解]运动肌，运动神经,开[乘]汽车；,用汽车运送；,有引擎的；由发动机推动的；机动车的；肌肉运动的,复数：
                                                            过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",She got in and started the motor.,她坐上车，发动了引擎。,Theft of motor vehicles is up by 15.9%.,机动车辆偷盗案上升了15.9%。,...the future of the British motor industry...,英国汽车工业的未来
green,"英 [gri:n], 美 [ɡrin]","adj.,n.,vi.","绿色的；未熟的，青春的；未成熟的；主张保护环境的,绿色蔬菜；绿色的衣服；植物；,绿化，使重视环境保护问题；,复数：
                                                            ",...shiny red and green apples...,红红绿绿、富有光泽的苹果,Yellow and green together make a pale green.,黄色与绿色混合能调配出淡绿色。,Cairo has only thirteen square centimetres of green space for each inhabitant.,开罗居民的人均绿地面积仅13平方厘米。
agency,"英 [ˈeɪdʒənsi], 美 [ˈedʒənsi]",n.,"代理；机构；力量；,复数：
                                                            ",We had to hire maids through an agency.,我们得通过中介雇用女佣。,...a successful advertising agency.,一家成功的广告代理公司,...the government agency which monitors health and safety at work in Britain...,英国负责劳工医疗和安全的部门
encourage,"英 [ɪnˈkʌrɪdʒ], 美 [ɪnˈkɜrɪdʒ]",vt.,"鼓励，鼓舞；支持；促进；鼓动,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ","When things aren't going well, he encourages me, telling me not to give up.",事情进展不顺的时候，他鼓励我说不要放弃。,Investors were encouraged by the news...,那个消息给了投资者信心。,Mr Blair said he had been encouraged by recent Irish statements about the issue.,布莱尔先生说最近爱尔兰有关这一问题的申明使他看到了希望。
governor,"英 [ˈgʌvənə(r)], 美 [ˈgʌvərnə(r)]",n.,"主管人员；统治者，管理者；州长；[机]节速器，调节器,复数：
                                                            ",He was governor of the province in the late 1970s...,他在20世纪70年代末担任该省的省长。,Governor William Livingston addressed the New Jersey Assembly.,威廉·利文斯顿州长在新泽西州议会上发表了演说。,Governors are using the increased powers given to them to act against incompetent headteachers.,董事们运用赋予他们的更大权力罢免不称职的校长。
please,"英 [pli:z], 美 [pliz]","int.,vt.& vi.","请；,使高兴；使满意；讨人喜欢；讨好,过去式：
                                                            过去分词：
                                                            现在分词：
                                                            第三人称单数：
                                                            ",Can you help us please?...,能请你帮帮我们吗？,Would you please open the door?...,请你开一下门好吗？,"'Tea?' — 'Yes, please.'...",“要茶吗？”——“好的，谢谢。”
comfort,,,,,,,,,
